,name,latitude,longitude,Ward Name,Ward Latitude,Ward Longitude
0,City centre,51.453632,-2.591341,Henbury & Brentry,51.5089723054,-2.62103738819
1,Arnos Vale,51.4316,-2.5536,Lawrence Hill,51.4545915255,-2.57123550176
2,Ashley Down,51.48,-2.58,,0.0,0.0
3,Ashton Gate,51.4406,-2.61905,Eastville,51.4747087486,-2.54692742667
4,Ashton Vale,51.432193,-2.623522,Southville,51.4433202033,-2.60399275913
5,Avonmouth,51.501,-2.699,Cotham,51.4659621213,-2.59991279554
6,Baptist Mills,51.4665,-2.5745,Stockwood,51.4184164447,-2.54973483036
7,Barton Hill,51.4525,-2.5629,Lockleaze,51.4858549686,-2.56566829252
8,Bedminster,51.4397,-2.6037,Easton,51.4623705993,-2.5585063858
9,Bedminster Down,51.41477,-2.62114,Hotwells & Harbourside,51.4497266657,-2.60958061728
10,Bishopston,51.47693,-2.59751,Horfield,51.4950829067,-2.58638069196
11,Bishopsworth,51.41477,-2.62114,Knowle,51.4327758412,-2.57233571619
12,Blaise Hamlet,51.507218,-2.635608,Southmead,51.5030607461,-2.60111976195
13,Bower Ashton,51.44166,-2.62988,Brislington West,51.4343921365,-2.54907070184
14,Brentry,51.51,-2.61,St George West,51.4601158409,-2.54693991989
15,Brislington,51.4316,-2.5439,Avonmouth & Lawrence Weston,51.5073327319,-2.67640730493
16,Broadmead,51.457,-2.588,Windmill Hill,51.4390956172,-2.58594642944
17,Broomhill,51.4316,-2.5439,Westbury-on-Trym & Henleaze,51.4897935392,-2.61748538616
18,Broomhill,51.49,-2.53,Redland,51.4752437813,-2.60115989823
19,Chester Park,51.4747,-2.5188,Brislington East,51.4402818459,-2.53865430791
20,Chittening,51.529,-2.675,,0.0,0.0
21,Clifton,51.46,-2.62,Clifton Down,51.4649683928,-2.61265915115
22,Cliftonwood,51.4510975,-2.6097115000000004,Hillfields,51.4737002198,-2.52257598809
23,Coombe Dingle,51.4952,-2.646,Bishopston & Ashley Down,51.4814520531,-2.5864650978
24,Cotham,51.4653,-2.6012,Stoke Bishop,51.477424266,-2.6360462691
25,Crew's Hole,51.4592,-2.5411,Bishopsworth,51.4217865816,-2.61645797497
26,Crofts End,51.475,-2.5574,Frome Vale,51.4870891243,-2.53119979349
27,Easton,51.45909,-2.56993,Filwood,51.4254172924,-2.5928043945
28,Eastville,51.475,-2.5574,Central,51.4544133988,-2.5943380148
29,Filwood Park,51.426,-2.5843,St George Central,51.4621388592,-2.52638370327
30,Fishponds,51.4805,-2.5241,Hartcliffe & Withywood,51.4077018278,-2.61221964855
31,Golden Hill,51.4876,-2.5951,Clifton,51.4565140849,-2.61996584156
32,Greenbank,51.468,-2.557,Bedminster,51.4371586391,-2.62187520686
33,Hartcliffe,51.4092,-2.5987,Ashley,51.4683087281,-2.58267455617
34,Headley Park,51.4092,-2.5987,,0.0,0.0
35,Henbury,51.505,-2.6284,,0.0,0.0
36,Hengrove,51.416,-2.5918,,0.0,0.0
37,Henleaze,51.49,-2.5989,,0.0,0.0
38,Hillfields,51.4747,-2.5188,,0.0,0.0
39,Horfield,51.49,-2.5805,,0.0,0.0
40,Hotwells,51.45,-2.62,,0.0,0.0
41,Kensington Park,51.4316,-2.5536,,0.0,0.0
42,Kingsdown,51.468,-2.613,,0.0,0.0
43,Knowle,51.434,-2.5721,,0.0,0.0
44,Knowle West,51.426,-2.59,,0.0,0.0
45,Lawrence Hill,51.457,-2.57,,0.0,0.0
46,Lawrence Weston,51.502,-2.659,,0.0,0.0
47,Lockleaze,51.4901,-2.5608,,0.0,0.0
48,Lodge Hill,51.4693,-2.5145,,0.0,0.0
49,Mayfield Park,51.4805,-2.5241,,0.0,0.0
50,Monks Park,51.49841,-2.58918,,0.0,0.0
51,Montpelier,51.46786662962962,-2.5854882962962966,,0.0,0.0
52,Redcliffe,51.4478,-2.5895,,0.0,0.0
53,Redfield,51.45971,-2.55653,,0.0,0.0
54,Redland,51.47241,-2.60321,,0.0,0.0
55,Sea Mills,51.4856,-2.6422,,0.0,0.0
56,Shirehampton,51.4945,-2.6712,,0.0,0.0
57,Sneyd Park,51.4766,-2.6421,,0.0,0.0
