,French Restaurant,Indian Restaurant,Italian Restaurant,New American Restaurant,Tapas Restaurant,locality,Locality Latitude,Locality Longitude
2,0,1,0,0,0,Arnos Vale,51.442993736842105,-2.564195684210526
4,0,0,0,0,1,Bristol,51.459642637334426,-2.59351473159462
5,1,0,0,0,0,Bristol,51.459642637334426,-2.59351473159462
6,1,0,0,0,0,Bristol,51.459642637334426,-2.59351473159462
10,0,0,0,0,1,Bristol,51.459642637334426,-2.59351473159462
13,0,0,1,0,0,Bristol,51.459642637334426,-2.59351473159462
14,0,0,0,1,0,Bristol,51.459642637334426,-2.59351473159462
15,1,0,0,0,0,Bristol,51.459642637334426,-2.59351473159462
17,0,1,0,0,0,Knowle,51.432241000000005,-2.571715407407408
20,0,1,0,0,0,Pylle Hill,51.446858666666664,-2.581248
21,0,1,0,0,0,Totterdown,51.442449374999995,-2.5779246562499996
25,0,0,0,0,1,Saint Andrews,51.4712805,-2.588771666666667
29,0,0,0,0,1,Ashton Gate,51.441539000000006,-2.6183325
34,0,0,0,0,1,Saint Agnes,51.46643666666666,-2.5781423333333335
36,1,0,0,0,0,Saint Judes,51.459824000000005,-2.579508
37,1,0,0,0,0,Saint Judes,51.459824000000005,-2.579508
38,0,0,0,0,1,Saint Judes,51.459824000000005,-2.579508
40,0,0,1,0,0,Saint Judes,51.459824000000005,-2.579508
41,0,0,0,0,1,Saint Pauls,51.4630844,-2.581562266666667
42,1,0,0,0,0,Saint Pauls,51.4630844,-2.581562266666667
43,1,0,0,0,0,Saint Pauls,51.4630844,-2.581562266666667
45,0,0,1,0,0,Saint Pauls,51.4630844,-2.581562266666667
48,0,0,0,0,1,Southville,51.444152392156866,-2.5987807254901965
53,0,0,0,0,1,Southville,51.444152392156866,-2.5987807254901965
58,0,0,0,0,1,Saint Augustines,51.454313,-2.599025
61,1,0,0,0,0,Saint Augustines,51.454313,-2.599025
64,1,0,0,0,0,Saint Augustines,51.454313,-2.599025
66,0,0,0,0,1,Saint Augustines,51.454313,-2.599025
67,0,0,0,0,1,Saint Augustines,51.454313,-2.599025
69,0,0,0,1,0,Saint Augustines,51.454313,-2.599025
70,0,0,1,0,0,Saint Augustines,51.454313,-2.599025
71,1,0,0,0,0,Saint Augustines,51.454313,-2.599025
76,1,0,0,0,0,Redcliffe,51.448510785714284,-2.5876415000000006
78,1,0,0,0,0,Redcliffe,51.448510785714284,-2.5876415000000006
79,0,0,0,0,1,Redcliffe,51.448510785714284,-2.5876415000000006
80,0,0,0,0,1,Redcliffe,51.448510785714284,-2.5876415000000006
81,0,0,0,0,1,Redcliffe,51.448510785714284,-2.5876415000000006
83,0,0,1,0,0,Redcliffe,51.448510785714284,-2.5876415000000006
84,0,0,0,1,0,Redcliffe,51.448510785714284,-2.5876415000000006
86,1,0,0,0,0,Temple Meads,51.448915,-2.5818375000000002
89,0,0,1,0,0,Temple Meads,51.448915,-2.5818375000000002
92,0,0,0,0,1,Kingsdown,51.461792083333336,-2.596508416666667
93,1,0,0,0,0,Kingsdown,51.461792083333336,-2.596508416666667
94,0,0,0,0,1,Kingsdown,51.461792083333336,-2.596508416666667
96,1,0,0,0,0,Kingsdown,51.461792083333336,-2.596508416666667
101,0,0,0,0,1,Kingsdown,51.461792083333336,-2.596508416666667
102,0,0,1,0,0,Kingsdown,51.461792083333336,-2.596508416666667
103,0,0,0,1,0,Kingsdown,51.461792083333336,-2.596508416666667
104,1,0,0,0,0,Kingsdown,51.461792083333336,-2.596508416666667
105,0,0,0,0,1,Saint James,51.460284333333334,-2.5947183333333332
106,1,0,0,0,0,Saint James,51.460284333333334,-2.5947183333333332
107,1,0,0,0,0,Saint James,51.460284333333334,-2.5947183333333332
111,0,0,0,0,1,Saint James,51.460284333333334,-2.5947183333333332
114,0,0,1,0,0,Saint James,51.460284333333334,-2.5947183333333332
115,0,0,0,1,0,Saint James,51.460284333333334,-2.5947183333333332
116,1,0,0,0,0,Saint James,51.460284333333334,-2.5947183333333332
118,0,0,0,0,1,Cotham,51.466995714285716,-2.596374071428571
119,0,0,0,0,1,Cotham,51.466995714285716,-2.596374071428571
123,0,0,0,0,1,Montpelier,51.46786662962962,-2.5854882962962966
129,0,0,0,0,1,Redland,51.47012566666667,-2.606286883333333
135,0,0,0,0,1,Clifton,51.45935165909091,-2.614886221590909
136,1,0,0,0,0,Clifton,51.45935165909091,-2.614886221590909
139,1,0,0,0,0,Clifton,51.45935165909091,-2.614886221590909
140,0,0,0,0,1,Clifton,51.45935165909091,-2.614886221590909
142,0,0,0,0,1,Tyndalls Park,51.45812014285715,-2.6068331428571425
145,0,0,0,0,1,Tyndalls Park,51.45812014285715,-2.6068331428571425
147,1,0,0,0,0,Tyndalls Park,51.45812014285715,-2.6068331428571425
148,0,0,0,1,0,Tyndalls Park,51.45812014285715,-2.6068331428571425
151,1,0,0,0,0,Clifton Wood,51.4510975,-2.6097115000000004
153,0,0,0,0,1,Clifton Wood,51.4510975,-2.6097115000000004
154,0,0,0,0,1,Clifton Wood,51.4510975,-2.6097115000000004
156,0,0,0,1,0,Clifton Wood,51.4510975,-2.6097115000000004
157,1,0,0,0,0,Clifton Wood,51.4510975,-2.6097115000000004
158,0,0,0,0,1,Clifton Wood,51.4510975,-2.6097115000000004
159,0,0,0,0,1,Clifton Wood,51.4510975,-2.6097115000000004
160,1,0,0,0,0,Hotwells,51.449275,-2.618631
162,0,0,0,0,1,Hotwells,51.449275,-2.618631
163,0,0,0,0,1,Hotwells,51.449275,-2.618631
