,New American Restaurant,Tapas Restaurant,locality,Locality Latitude
0,False,False,True,True
1,False,True,True,True
2,False,False,True,True
3,False,False,True,True
4,False,True,True,True
5,False,False,True,True
6,True,False,True,True
7,False,False,True,True
8,False,False,True,True
9,False,False,True,True
10,False,False,True,True
11,False,True,True,True
12,False,True,True,True
13,False,True,True,True
14,False,False,True,True
15,False,False,True,True
16,False,True,True,True
17,False,False,True,True
18,False,True,True,True
19,False,False,True,True
20,False,False,True,True
21,False,False,True,True
22,False,True,True,True
23,False,True,True,True
24,False,True,True,True
25,False,False,True,True
26,False,False,True,True
27,False,True,True,True
28,False,True,True,True
29,True,False,True,True
30,False,False,True,True
31,False,False,True,True
32,False,False,True,True
33,False,False,True,True
34,False,True,True,True
35,False,True,True,True
36,False,True,True,True
37,False,False,True,True
38,True,False,True,True
39,False,False,True,True
40,False,False,True,True
41,False,True,True,True
42,False,False,True,True
43,False,True,True,True
44,False,False,True,True
45,False,True,True,True
46,False,False,True,True
47,True,False,True,True
48,False,False,True,True
49,False,True,True,True
50,False,False,True,True
51,False,False,True,True
52,False,True,True,True
53,False,False,True,True
54,True,False,True,True
55,False,False,True,True
56,False,True,True,True
57,False,True,True,True
58,False,True,True,True
59,False,True,True,True
60,False,True,True,True
61,False,False,True,True
62,False,False,True,True
63,False,True,True,True
64,False,True,True,True
65,False,True,True,True
66,False,False,True,True
67,True,False,True,True
68,False,False,True,True
69,False,True,True,True
70,False,True,True,True
71,True,False,True,True
72,False,False,True,True
73,False,True,True,True
74,False,True,True,True
75,False,False,True,True
76,False,True,True,True
77,False,True,True,True
