,locality,Locality Latitude,Locality Longitude,Ward,Ward Code
0,Arnos Vale,51.442993736842105,-2.564195684210526,Brislington West,E05010891
1,Arnos Vale,51.442993736842105,-2.564195684210526,Windmill Hill,E05010918
2,Brislington,51.43801799999999,-2.5501815,Brislington West,E05010891
3,Brislington,51.43801799999999,-2.5501815,Brislington East,E05010890
4,Bristol,51.459642637334426,-2.59351473159462,Brislington West,E05010891
5,Bristol,51.459642637334426,-2.59351473159462,Windmill Hill,E05010918
6,Bristol,51.459642637334426,-2.59351473159462,Southville,E05010914
7,Knowle,51.432241000000005,-2.571715407407408,Knowle,E05010906
8,Pylle Hill,51.446858666666664,-2.581248,Southville,E05010914
9,Totterdown,51.442449374999995,-2.5779246562499996,Windmill Hill,E05010918
10,Ashley Down,51.48013775,-2.579243375,Bishopston and Ashley Down,E05010888
11,Bishopston,51.47624394029852,-2.591481432835821,Bishopston and Ashley Down,E05010888
12,Bristol,51.459642637334426,-2.59351473159462,Ashley,E05010885
13,Bristol,51.459642637334426,-2.59351473159462,Bishopston and Ashley Down,E05010888
14,Bristol,51.459642637334426,-2.59351473159462,Lockleaze,E05010908
15,Horfield,51.490636277777774,-2.579773388888889,Bishopston and Ashley Down,E05010888
16,Horfield,51.490636277777774,-2.579773388888889,Lockleaze,E05010908
17,Saint Andrews,51.4712805,-2.588771666666667,Bishopston and Ashley Down,E05010888
18,Ashton,51.432773,-2.613028,Bedminster,E05010887
19,Ashton Gate,51.441539000000006,-2.6183325,Southville,E05010914
20,Bedminster,51.437580869918705,-2.6027019268292686,Bedminster,E05010887
21,Bristol,51.459642637334426,-2.59351473159462,Bedminster,E05010887
22,Bristol,51.459642637334426,-2.59351473159462,Avonmouth and Lawrence Weston,E05010886
23,Chittening,51.527324500000006,-2.6835850000000003,Avonmouth and Lawrence Weston,E05010886
24,Kingsweston,51.494215800000006,-2.6584342,Avonmouth and Lawrence Weston,E05010886
25,Lawrence Weston,51.50183933333333,-2.6531077499999998,Avonmouth and Lawrence Weston,E05010886
26,Shirehampton,51.48885449152542,-2.6783064915254235,Avonmouth and Lawrence Weston,E05010886
27,Avonmouth,51.50577630769231,-2.6952672307692307,Avonmouth and Lawrence Weston,E05010886
28,Avon Valley Business Park,51.451794500000005,-2.545846,Brislington East,E05010890
29,Bristol,51.459642637334426,-2.59351473159462,Brislington East,E05010890
30,Saint Annes,51.4499225,-2.5481765,Brislington East,E05010890
31,Saint Annes Park,51.451859891891885,-2.5409908648648654,Brislington East,E05010890
32,Saint Annes Park,51.451859891891885,-2.5409908648648654,Brislington West,E05010891
