,name,latitude,longitude,Ward Name,Ward Code,count,Ward Latitude,Ward Longitude,Average Income,Index of Multiple Deprivation,Avg. House Price £k,Ward Population,Ward Crimes
0,Arnos Vale,51.4316,-2.5536,Brislington West,E05010891,1,51.4343938593,-2.54906988637,43799.619771863116,13685.300380228136,265.6311787072243,11336.0,1287.0
1,Ashley Down,51.48,-2.58,Bishopston & Ashley Down,E05010888,1,51.4814532715,-2.58646340656,56094.25837320574,24239.947368421053,401.76555023923447,13415.0,900.0
2,Ashton Gate,51.4406,-2.61905,Bedminster,E05010887,1,51.4371603671,-2.62187227821,43119.875776397515,15573.475155279502,315.3726708074534,12517.0,1036.0
3,Ashton Vale,51.432193,-2.623522,Bedminster,E05010887,1,51.4371603671,-2.62187227821,43119.875776397515,15573.475155279502,315.3726708074534,12517.0,1036.0
4,Avonmouth,51.501,-2.699,Avonmouth & Lawrence Weston,E05010886,1,51.5073341696,-2.67640359358,38226.91680261011,8580.04730831974,247.12724306688418,21375.0,2288.0
5,Baptist Mills,51.4665,-2.5745,Ashley,E05010885,1,51.4683098847,-2.58267316047,44400.0,9698.1766004415,343.64459161147903,19083.0,2675.0
6,Barton Hill,51.4525,-2.5629,Lawrence Hill,E05010907,1,51.4545929175,-2.57123424149,33904.66786355476,3005.3931777378816,226.8258527827648,19473.0,3159.0
7,Bedminster,51.4397,-2.6037,Bedminster,E05010887,1,51.4371603671,-2.62187227821,43119.875776397515,15573.475155279502,315.3726708074534,12517.0,1036.0
8,Bedminster Down,51.41477,-2.62114,Bishopsworth,E05010889,1,51.4217884041,-2.61645553985,37048.48484848485,14629.829545454546,239.41666666666666,11425.0,1391.0
9,Bishopston,51.47693,-2.59751,Redland,E05010909,1,51.4752449941,-2.60115761678,56299.016393442624,26272.04262295082,519.6131147540983,13088.0,772.0
10,Bishopsworth,51.41477,-2.62114,Bishopsworth,E05010889,1,51.4217884041,-2.61645553985,37048.48484848485,14629.829545454546,239.41666666666666,11425.0,1391.0
11,Blaise Hamlet,51.507218,-2.635608,Henbury & Brentry,E05010901,1,51.5089736142,-2.62103514848,38743.07692307692,8907.323076923078,257.8,12473.0,1150.0
12,Bower Ashton,51.44166,-2.62988,Bedminster,E05010887,1,51.4371603671,-2.62187227821,43119.875776397515,15573.475155279502,315.3726708074534,12517.0,1036.0
13,Brentry,51.51,-2.61,Henbury & Brentry,E05010901,1,51.5089736142,-2.62103514848,38743.07692307692,8907.323076923078,257.8,12473.0,1150.0
14,Brislington,51.4316,-2.5439,Brislington East,E05010890,1,51.4402835576,-2.53865369047,40835.07462686567,12991.216417910447,246.6865671641791,11892.0,751.0
15,Broadmead,51.457,-2.588,Central,E05010892,1,51.4544148955,-2.59433619751,45808.04911323329,12850.00954979536,302.18008185538883,20656.0,8672.0
16,Broomhill,51.4316,-2.5439,Brislington East,E05010890,1,51.4402835576,-2.53865369047,40835.07462686567,12991.216417910447,246.6865671641791,11892.0,751.0
17,Broomhill,51.49,-2.53,Frome Vale,E05010899,1,51.4870905493,-2.53119915299,37993.54838709677,10998.900293255132,303.3636363636364,13477.0,1417.0
18,Chester Park,51.4747,-2.5188,Hillfields,E05010903,1,51.4737018096,-2.5225753211,38159.59595959596,9266.13468013468,270.5791245791246,12898.0,1022.0
19,Chittening,51.529,-2.675,Avonmouth & Lawrence Weston,E05010886,1,51.5073341696,-2.67640359358,38226.91680261011,8580.04730831974,247.12724306688418,21375.0,2288.0
20,City centre,51.453632,-2.591341,Central,E05010892,1,51.4544148955,-2.59433619751,45808.04911323329,12850.00954979536,302.18008185538883,20656.0,8672.0
21,Clifton,51.46,-2.62,Clifton,E05010893,1,51.4565158032,-2.61996331305,50983.23863636364,23870.107954545456,530.6022727272727,13581.0,781.0
22,Cliftonwood,51.4510975,-2.6097115000000004,Clifton,E05010893,1,51.4565158032,-2.61996331305,50983.23863636364,23870.107954545456,530.6022727272727,13581.0,781.0
23,Conham,51.44,-2.53,Brislington East,E05010890,1,51.4402835576,-2.53865369047,40835.07462686567,12991.216417910447,246.6865671641791,11892.0,751.0
24,Coombe Dingle,51.4952,-2.646,Avonmouth & Lawrence Weston,E05010886,1,51.5073341696,-2.67640359358,38226.91680261011,8580.04730831974,247.12724306688418,21375.0,2288.0
25,Cotham,51.4653,-2.6012,Cotham,E05010895,1,51.4659633898,-2.59991083361,52680.48780487805,21720.739837398374,426.2235772357724,12110.0,773.0
26,Crew's Hole,51.4592,-2.5411,St George West,E05010912,1,51.4601173974,-2.54693954016,38075.294117647056,9440.20588235294,238.61764705882354,6518.0,669.0
27,Crofts End,51.475,-2.5574,Eastville,E05010897,1,51.4747101824,-2.54692680567,41384.023668639056,9685.763313609468,277.3609467455621,14696.0,1616.0
28,Easton,51.45909,-2.56993,Lawrence Hill,E05010907,1,51.4545929175,-2.57123424149,33904.66786355476,3005.3931777378816,226.8258527827648,19473.0,3159.0
29,Eastville,51.475,-2.5574,Eastville,E05010897,1,51.4747101824,-2.54692680567,41384.023668639056,9685.763313609468,277.3609467455621,14696.0,1616.0
30,Filwood Park,51.426,-2.5843,Filwood,E05010898,1,51.4254187146,-2.59280262818,34159.85401459854,2816.689781021898,228.5912408759124,13750.0,1721.0
31,Fishponds,51.4805,-2.5241,Frome Vale,E05010899,1,51.4870905493,-2.53119915299,37993.54838709677,10998.900293255132,303.3636363636364,13477.0,1417.0
32,Golden Hill,51.4876,-2.5951,Westbury-on-Trym & Henleaze,E05010917,1,51.4897948304,-2.61748273112,54507.5,29341.92142857143,534.5660714285714,19971.0,827.0
33,Greenbank,51.468,-2.557,Easton,E05010896,1,51.4623719964,-2.55850571231,37942.01388888889,8262.618055555555,259.34722222222223,14169.0,1377.0
34,Hartcliffe,51.4092,-2.5987,Hartcliffe & Withywood,E05010900,1,51.4077037025,-2.6122179734,30537.91574279379,1579.1662971175167,206.9068736141907,19005.0,2653.0
35,Headley Park,51.4092,-2.5987,Hartcliffe & Withywood,E05010900,1,51.4077037025,-2.6122179734,30537.91574279379,1579.1662971175167,206.9068736141907,19005.0,2653.0
36,Henbury,51.505,-2.6284,Henbury & Brentry,E05010901,1,51.5089736142,-2.62103514848,38743.07692307692,8907.323076923078,257.8,12473.0,1150.0
37,Hengrove,51.416,-2.5918,Filwood,E05010898,1,51.4254187146,-2.59280262818,34159.85401459854,2816.689781021898,228.5912408759124,13750.0,1721.0
38,Henleaze,51.49,-2.5989,Westbury-on-Trym & Henleaze,E05010917,1,51.4897948304,-2.61748273112,54507.5,29341.92142857143,534.5660714285714,19971.0,827.0
39,Hillfields,51.4747,-2.5188,Hillfields,E05010903,1,51.4737018096,-2.5225753211,38159.59595959596,9266.13468013468,270.5791245791246,12898.0,1022.0
40,Horfield,51.49,-2.5805,Horfield,E05010904,1,51.4950842804,-2.586379126,43355.555555555555,14102.84126984127,313.1746031746032,13415.0,1256.0
41,Hotwells,51.45,-2.62,Hotwells & Harbourside,E05010905,1,51.4497285026,-2.60957858467,47079.69543147208,16354.888324873096,398.4568527918782,6056.0,2181.0
42,Kensington Park,51.4316,-2.5536,Brislington West,E05010891,1,51.4343938593,-2.54906988637,43799.619771863116,13685.300380228136,265.6311787072243,11336.0,1287.0
43,Kingsdown,51.468,-2.613,Clifton Down,E05010894,1,51.4649698075,-2.61265665527,56292.76315789474,25230.625,453.30263157894734,11639.0,845.0
44,Knowle,51.434,-2.5721,Knowle,E05010906,1,51.4327773874,-2.57233440569,40662.01550387597,12874.073643410853,308.4922480620155,13345.0,988.0
45,Knowle West,51.426,-2.59,Filwood,E05010898,1,51.4254187146,-2.59280262818,34159.85401459854,2816.689781021898,228.5912408759124,13750.0,1721.0
46,Lawrence Hill,51.457,-2.57,Lawrence Hill,E05010907,1,51.4545929175,-2.57123424149,33904.66786355476,3005.3931777378816,226.8258527827648,19473.0,3159.0
47,Lawrence Weston,51.502,-2.659,Avonmouth & Lawrence Weston,E05010886,1,51.5073341696,-2.67640359358,38226.91680261011,8580.04730831974,247.12724306688418,21375.0,2288.0
