,name,latitude,longitude,Ward Code,Ward Name,Ward Latitude,Ward Longitude,LSOA11 Local name,LSOA11 Code
0,City centre,51.453632,-2.591341,E05010892,Central,51.4544133988,-2.5943380148,Redcliffe North,E01033355
1,Arnos Vale,51.4316,-2.5536,E05010891,Brislington West,51.4343921365,-2.54907070184,Callington Road,E01014535
2,Ashley Down,51.48,-2.58,E05010888,Bishopston & Ashley Down,51.4814520531,-2.5864650978,Ashley Down,E01014509
3,Ashton Gate,51.4406,-2.61905,E05010887,Bedminster,51.4371586391,-2.62187520686,Bower Ashton,E01014695
4,Ashton Vale,51.432193,-2.623522,E05010887,Bedminster,51.4371586391,-2.62187520686,Ashton Vale,E01014501
5,Avonmouth,51.501,-2.699,E05010886,Avonmouth & Lawrence Weston,51.5073327319,-2.67640730493,Avonmouth Docks,E01014496
6,Baptist Mills,51.4665,-2.5745,E05010885,Ashley,51.4683087281,-2.58267455617,St Agnes,E01014486
7,Barton Hill,51.4525,-2.5629,E05010907,Lawrence Hill,51.4545915255,-2.57123550176,St Philips,E01014658
8,Bedminster,51.4397,-2.6037,E05010887,Bedminster,51.4371586391,-2.62187520686,West Street West,E01033364
9,Bedminster Down,51.41477,-2.62114,E05010889,Bishopsworth,51.4217865816,-2.61645797497,Kings Head Park,E01014521
10,Bishopston,51.47693,-2.59751,E05010909,Redland,51.4752437813,-2.60115989823,St Bonaventures,E01014513
11,Bishopsworth,51.41477,-2.62114,E05010889,Bishopsworth,51.4217865816,-2.61645797497,Kings Head Park,E01014521
12,Blaise Hamlet,51.507218,-2.635608,E05010901,Henbury & Brentry,51.5089723054,-2.62103738819,Blaise,E01032516
13,Bower Ashton,51.44166,-2.62988,E05010887,Bedminster,51.4371586391,-2.62187520686,Bower Ashton,E01014695
14,Brentry,51.51,-2.61,E05010901,Henbury & Brentry,51.5089723054,-2.62103738819,Brentry West,E01014601
15,Brislington,51.4316,-2.5439,E05010890,Brislington East,51.4402818459,-2.53865430791,School Road,E01014527
16,Broadmead,51.457,-2.588,E05010892,Central,51.4544133988,-2.5943380148,City Centre and Queens Square,E01014540
17,Broomhill,51.4316,-2.5439,E05010890,Brislington East,51.4402818459,-2.53865430791,School Road,E01014527
18,Broomhill,51.49,-2.53,E05010899,Frome Vale,51.4870891243,-2.53119979349,Oldbury Court,E01014586
19,Chester Park,51.4747,-2.5188,E05010903,Hillfields,51.4737002198,-2.52257598809,Hillfields North,E01014629
20,Chittening,51.529,-2.675,E05010886,Avonmouth & Lawrence Weston,51.5073327319,-2.67640730493,Kingsweston Avenue,E01014498
21,Clifton,51.46,-2.62,E05010893,Clifton,51.4565140849,-2.61996584156,Clifton College,E01014545
22,Cliftonwood,51.4510975,-2.6097115000000004,E05010893,Clifton,51.4565140849,-2.61996584156,Cliftonwood,E01014549
23,Coombe Dingle,51.4952,-2.646,E05010886,Avonmouth & Lawrence Weston,51.5073327319,-2.67640730493,Coombe Dingle West,E01014642
24,Cotham,51.4653,-2.6012,E05010895,Cotham,51.4659621213,-2.59991279554,Cotham Park,E01014557
25,Crew's Hole,51.4592,-2.5411,E05010912,St George West,51.4601158409,-2.54693991989,Clouds Hill,E01014683
26,Crofts End,51.475,-2.5574,E05010897,Eastville,51.4747087486,-2.54692742667,Eastville Park,E01014575
27,Easton,51.45909,-2.56993,E05010907,Lawrence Hill,51.4545915255,-2.57123550176,Newtown,E01033369
28,Eastville,51.475,-2.5574,E05010897,Eastville,51.4747087486,-2.54692742667,Eastville Park,E01014575
29,Filwood Park,51.426,-2.5843,E05010898,Filwood,51.4254172924,-2.5928043945,Filwood Broadway,E01014581
30,Fishponds,51.4805,-2.5241,E05010899,Frome Vale,51.4870891243,-2.53119979349,Fishponds,E01014590
