,locality,Locality Latitude,Locality Longitude,Population,Crimes
0,Arnos Vale,51.442993736842105,-2.564195684210526,11589.0,1247.0
1,Brislington,51.43801799999999,-2.5501815,11574.0,1057.0
2,Central,51.459642637334426,-2.59351473159462,14912.0,2006.0
3,Knowle,51.432241000000005,-2.571715407407408,13289.0,1111.0
4,Pylle Hill,51.446858666666664,-2.581248,12671.0,2105.0
5,Totterdown,51.442449374999995,-2.5779246562499996,13735.0,904.0
6,Ashley Down,51.48013775,-2.579243375,13415.0,900.0
7,Bishopston,51.47624394029852,-2.591481432835821,13919.0,1043.0
8,Horfield,51.490636277777774,-2.579773388888889,13410.0,1178.0
9,Saint Andrews,51.4712805,-2.588771666666667,18926.0,2626.0
10,Ashton,51.432773,-2.613028,12517.0,1036.0
11,Ashton Gate,51.441539000000006,-2.6183325,12671.0,2105.0
12,Bedminster,51.437580869918705,-2.6027019268292686,12698.0,1626.0
13,Chittening,51.527324500000006,-2.6835850000000003,21375.0,2288.0
14,Kingsweston,51.494215800000006,-2.6584342,21375.0,2288.0
15,Lawrence Weston,51.50183933333333,-2.6531077499999998,21375.0,2288.0
16,Shirehampton,51.48885449152542,-2.6783064915254235,21375.0,2288.0
17,Avonmouth,51.50577630769231,-2.6952672307692307,21375.0,2288.0
18,Avon Valley Business Park,51.451794500000005,-2.545846,11892.0,751.0
19,Saint Annes,51.4499225,-2.5481765,11892.0,751.0
20,Saint Annes Park,51.451859891891885,-2.5409908648648654,11844.0,797.0
21,Baptist Mills,51.467603000000004,-2.5756330000000003,19083.0,2675.0
22,Saint Agnes,51.46643666666666,-2.5781423333333335,19083.0,2675.0
23,Saint Judes,51.459824000000005,-2.579508,19473.0,3159.0
24,Saint Pauls,51.4630844,-2.581562266666667,19135.0,2740.0
25,Saint Werburghs,51.470986874999994,-2.5731903750000003,17662.0,2368.0
26,Barton Hill,51.45542486956522,-2.5621548695652177,17167.0,2384.0
27,Easton,51.46498264285715,-2.566044261904762,16634.0,2213.0
28,Lawrence Hill,51.45759266666666,-2.564266083333333,18147.0,2714.0
29,Redfield,51.48771025641025,-2.530738512820513,13324.0,1332.0
30,Saint George,51.458130691358015,-2.5385552469135804,8445.0,705.0
31,Whitehall,51.46372641176471,-2.5520087058823533,12012.0,1211.0
32,Southville,51.444152392156866,-2.5987807254901965,12671.0,2105.0
33,Bedminster Down,51.42123266666667,-2.623209333333333,11425.0,1391.0
34,Bishopsworth,51.4123810925926,-2.6194850555555553,16899.0,2302.0
35,Brentry,51.51056596153846,-2.6044688076923075,12493.0,1153.0
36,Westbury-on-Trym,51.494664746478875,-2.6111856901408452,17787.0,945.0
37,Southmead,51.499602100000004,-2.5959817000000003,12789.0,1188.0
38,Henbury,51.50879870731708,-2.619574219512195,13065.0,1124.0
39,Hawkfield Business Park,51.411909,-2.5935968,17222.0,1633.0
40,Hengrove Park,51.410990000000005,-2.584943,17222.0,1633.0
41,Stockwood,51.41472,-2.54434,11580.0,820.0
42,Hengrove,51.4179688,-2.5656968,16094.0,1470.0
43,Saint Augustines,51.454313,-2.599025,20656.0,8672.0
44,Stapleton,51.48816456603774,-2.5475081698113207,14051.0,1511.0
45,Fishponds,51.50432711304347,-2.5625655478260865,13680.0,1380.0
46,Redcliffe,51.448510785714284,-2.5876415000000006,20656.0,8672.0
47,Temple Meads,51.448915,-2.5818375000000002,19473.0,3159.0
48,Saint Philips,51.4514213877551,-2.574438408163265,19523.0,3394.0
49,Saint Philips Marsh,51.448137,-2.568121,19473.0,3159.0
50,Kingsdown,51.461792083333336,-2.596508416666667,13534.0,2090.0
51,Saint James,51.460284333333334,-2.5947183333333332,20656.0,8672.0
52,Eastville,51.47328049019608,-2.558788843137255,14282.0,1535.0
53,Greenbank,51.468823333333326,-2.557363333333333,14286.0,1430.0
54,Clay Hill,51.47054533333333,-2.5431519999999996,14696.0,1616.0
55,Speedwell,51.46756323076924,-2.534427461538461,14420.0,1537.0
56,Cotham,51.466995714285716,-2.596374071428571,12149.0,778.0
57,Montpelier,51.46786662962962,-2.5854882962962966,19083.0,2675.0
58,Durdham Park,51.473739,-2.615622,13088.0,772.0
59,Redland,51.47012566666667,-2.606286883333333,12368.0,792.0
60,Westbury Park,51.47994919999999,-2.6093444333333338,19053.0,820.0
61,Clifton,51.45935165909091,-2.614886221590909,13431.0,1531.0
62,Tyndalls Park,51.45812014285715,-2.6068331428571425,20656.0,8672.0
63,Clifton Wood,51.4510975,-2.6097115000000004,13581.0,781.0
64,Hotwells,51.449275,-2.618631,6056.0,2181.0
65,Sneyd Park,51.472717,-2.633919,12068.0,604.0
66,Stoke Bishop,51.47691345454544,-2.6313549545454546,12068.0,604.0
67,Coombe Dingle,51.495612900000005,-2.6424288999999996,21375.0,2288.0
68,Sea Mills,51.48834925,-2.6487575000000003,12068.0,604.0
69,Henleaze,51.488430136363625,-2.603974772727273,19971.0,827.0
