,name,latitude,longitude,French Restaurant,Indian Restaurant,Italian Restaurant,New American Restaurant,Tapas Restaurant,count rest. nationality,Ward Name,Ward Code,count,Ward Latitude,Ward Longitude,Average Income,Index of Multiple Deprivation,Avg. House Price £k,Ward Population,Ward Crimes
0,Ashton Gate,51.4406,-2.61905,0.0,0.0,0.0,0.0,1.0,1,Bedminster,E05010887,1,51.4371603671,-2.62187227821,43119.875776397515,15573.475155279502,315.3726708074534,12517.0,1036.0
1,Bedminster,51.4397,-2.6037,0.0,0.0,0.0,0.0,1.0,1,Bedminster,E05010887,1,51.4371603671,-2.62187227821,43119.875776397515,15573.475155279502,315.3726708074534,12517.0,1036.0
2,Bower Ashton,51.44166,-2.62988,0.0,0.0,0.0,0.0,1.0,1,Bedminster,E05010887,1,51.4371603671,-2.62187227821,43119.875776397515,15573.475155279502,315.3726708074534,12517.0,1036.0
3,Broadmead,51.457,-2.588,0.33,0.0,0.17,0.17,0.33,4,Central,E05010892,1,51.4544148955,-2.59433619751,45808.04911323329,12850.00954979536,302.18008185538883,20656.0,8672.0
4,City centre,51.453632,-2.591341,0.38,0.0,0.12,0.12,0.38,4,Central,E05010892,1,51.4544148955,-2.59433619751,45808.04911323329,12850.00954979536,302.18008185538883,20656.0,8672.0
5,Clifton,51.46,-2.62,0.33,0.0,0.0,0.0,0.67,2,Clifton,E05010893,1,51.4565158032,-2.61996331305,50983.23863636364,23870.107954545456,530.6022727272727,13581.0,781.0
6,Cliftonwood,51.4510975,-2.6097115000000004,0.29,0.0,0.0,0.14,0.57,3,Clifton,E05010893,1,51.4565158032,-2.61996331305,50983.23863636364,23870.107954545456,530.6022727272727,13581.0,781.0
7,Cotham,51.4653,-2.6012,0.0,0.0,0.0,0.0,1.0,1,Cotham,E05010895,1,51.4659633898,-2.59991083361,52680.48780487805,21720.739837398374,426.2235772357724,12110.0,773.0
8,Hotwells,51.45,-2.62,0.25,0.0,0.0,0.0,0.75,2,Hotwells & Harbourside,E05010905,1,51.4497285026,-2.60957858467,47079.69543147208,16354.888324873096,398.4568527918782,6056.0,2181.0
9,Kingsdown,51.468,-2.613,0.0,0.0,0.0,0.0,1.0,1,Clifton Down,E05010894,1,51.4649698075,-2.61265665527,56292.76315789474,25230.625,453.30263157894734,11639.0,845.0
10,Knowle,51.434,-2.5721,0.0,1.0,0.0,0.0,0.0,1,Knowle,E05010906,1,51.4327773874,-2.57233440569,40662.01550387597,12874.073643410853,308.4922480620155,13345.0,988.0
11,Montpelier,51.46786662962962,-2.5854882962962966,0.0,0.0,0.0,0.0,1.0,1,Ashley,E05010885,1,51.4683098847,-2.58267316047,44400.0,9698.1766004415,343.64459161147903,19083.0,2675.0
12,Redcliffe,51.4478,-2.5895,0.0,0.0,0.0,0.25,0.75,2,Central,E05010892,1,51.4544148955,-2.59433619751,45808.04911323329,12850.00954979536,302.18008185538883,20656.0,8672.0
13,Redland,51.47241,-2.60321,0.0,0.0,0.0,0.0,1.0,1,Redland,E05010909,1,51.4752449941,-2.60115761678,56299.016393442624,26272.04262295082,519.6131147540983,13088.0,772.0
14,Southville,51.445,-2.6003,0.0,0.0,0.0,0.0,1.0,1,Southville,E05010914,1,51.4433220308,-2.60399054226,43858.620689655174,12797.871473354233,340.2758620689655,12671.0,2105.0
15,Spike Island,51.4479,-2.6087,0.25,0.0,0.0,0.0,0.75,2,Hotwells & Harbourside,E05010905,1,51.4497285026,-2.60957858467,47079.69543147208,16354.888324873096,398.4568527918782,6056.0,2181.0
16,St Andrew's,51.4712805,-2.588771666666667,0.0,0.0,0.0,0.0,1.0,1,Ashley,E05010885,1,51.4683098847,-2.58267316047,44400.0,9698.1766004415,343.64459161147903,19083.0,2675.0
17,St. Jude's,51.460012,-2.579625,0.5,0.0,0.25,0.0,0.25,3,Lawrence Hill,E05010907,1,51.4545929175,-2.57123424149,33904.66786355476,3005.3931777378816,226.8258527827648,19473.0,3159.0
18,St. Paul's,51.4656,-2.582,0.5,0.0,0.25,0.0,0.25,3,Ashley,E05010885,1,51.4683098847,-2.58267316047,44400.0,9698.1766004415,343.64459161147903,19083.0,2675.0
19,Totterdown,51.4388,-2.566,0.0,1.0,0.0,0.0,0.0,1,Knowle,E05010906,1,51.4327773874,-2.57233440569,40662.01550387597,12874.073643410853,308.4922480620155,13345.0,988.0
20,Tyndall's Park,51.46,-2.6,0.29,0.0,0.14,0.14,0.43,4,Central,E05010892,1,51.4544148955,-2.59433619751,45808.04911323329,12850.00954979536,302.18008185538883,20656.0,8672.0
21,Upper Knowle,51.434,-2.5721,0.0,1.0,0.0,0.0,0.0,1,Knowle,E05010906,1,51.4327773874,-2.57233440569,40662.01550387597,12874.073643410853,308.4922480620155,13345.0,988.0
22,Windmill Hill,51.4412,-2.5861,0.0,1.0,0.0,0.0,0.0,1,Windmill Hill,E05010918,1,51.4390971799,-2.58594427096,45177.23880597015,13710.276119402984,302.59328358208955,13735.0,904.0
