,Postcode2,Avg. House Price £k
0,BS1 1,187
1,BS1 2,226
2,BS1 3,247
3,BS1 4,256
4,BS1 5,386
5,BS1 6,361
6,BS10 5,310
7,BS10 6,250
8,BS10 7,263
9,BS11 0,212
10,BS11 9,220
11,BS13 0,181
12,BS13 7,230
13,BS13 8,250
14,BS13 9,196
15,BS14 0,293
16,BS14 8,217
17,BS14 9,256
18,BS15 1,360
19,BS15 3,287
20,BS15 4,240
21,BS15 8,249
22,BS15 9,255
23,BS16 1,335
24,BS16 2,308
25,BS16 3,247
26,BS16 4,237
27,BS16 5,269
28,BS16 6,356
29,BS16 7,308
30,BS16 9,284
31,BS2 0,220
32,BS2 8,290
33,BS2 9,295
34,BS20 0,325
35,BS20 6,320
36,BS20 7,336
37,BS20 8,418
38,BS21 5,261
39,BS21 6,330
40,BS21 7,372
41,BS22 6,202
42,BS22 7,230
43,BS22 8,208
44,BS22 9,276
45,BS23 1,170
46,BS23 2,184
47,BS23 3,177
48,BS23 4,231
49,BS24 0,413
50,BS24 6,403
51,BS24 7,220
52,BS24 8,244
53,BS24 9,241
54,BS25 1,355
55,BS25 5,408
56,BS26 2,324
57,BS27 3,290
58,BS28 4,478
59,BS29 6,244
60,BS3 1,357
61,BS3 2,338
62,BS3 3,293
63,BS3 4,305
64,BS3 5,299
65,BS30 5,396
66,BS30 6,409
67,BS30 7,263
68,BS30 8,238
69,BS30 9,298
70,BS31 1,351
71,BS31 2,325
72,BS31 3,504
73,BS32 0,272
74,BS32 4,428
75,BS32 8,287
76,BS32 9,264
77,BS34 5,250
78,BS34 6,259
79,BS34 7,250
80,BS34 8,291
81,BS35 1,360
82,BS35 2,292
83,BS35 3,383
84,BS35 4,304
85,BS35 5,439
86,BS36 1,586
87,BS36 2,388
88,BS37 4,224
89,BS37 5,232
90,BS37 6,340
91,BS37 7,316
92,BS37 8,226
93,BS37 9,433
94,BS39 4,479
95,BS39 5,392
96,BS39 6,365
97,BS39 7,231
98,BS4 1,208
99,BS4 2,344
100,BS4 3,269
101,BS4 4,245
102,BS4 5,257
103,BS40 5,391
104,BS40 6,538
105,BS40 7,494
106,BS40 8,580
107,BS40 9,360
108,BS41 8,437
109,BS41 9,428
110,BS48 1,384
111,BS48 2,320
112,BS48 3,503
113,BS48 4,400
114,BS49 4,336
115,BS49 5,374
116,BS5 0,209
117,BS5 6,273
118,BS5 7,239
119,BS5 8,234
120,BS5 9,249
121,BS6 5,420
122,BS6 6,460
123,BS6 7,563
124,BS7 0,285
125,BS7 8,485
126,BS7 9,354
127,BS8 1,400
128,BS8 2,442
129,BS8 3,709
130,BS8 4,472
131,BS9 1,663
132,BS9 2,449
133,BS9 3,534
134,BS9 4,535
