,name,latitude,longitude,Venue,Venue Id,Venue Latitude,Venue Longitude,Venue postalCode,Venue Category,Distance
3,City centre,51.453632,-2.591341,Côte Brasserie,588c7f920319b8631e76e17a,51.4574002691185,-2.587209615907183,BS1 3BU,French Restaurant,507.0
4,City centre,51.453632,-2.591341,Harvey Nichols Restaurant & Bar,50450455183fcb060e8d47e7,51.45723347,-2.58622832,BS1 3BZ,French Restaurant,535.0
5,City centre,51.453632,-2.591341,Pata Negra,5409ee3f498ea27289eb00e1,51.453949625289084,-2.5951340486910333,BS1 1YH,Tapas Restaurant,265.0
10,City centre,51.453632,-2.591341,El Puerto,4e8748f8d3e393c4a795ad5d,51.44948531380454,-2.5965473194815427,BS1 4QH,Tapas Restaurant,585.0
11,City centre,51.453632,-2.591341,The Olive Shed,4b05883df964a520fab922e3,51.44708665067892,-2.6001671914787177,BS1 4RN,Tapas Restaurant,951.0
13,City centre,51.453632,-2.591341,Piccolino,4bcc64dbb6c49c74ba9a9391,51.45705522762938,-2.5865264260015635,BS1 3BZ,Italian Restaurant,506.0
14,City centre,51.453632,-2.591341,The Smoke Haus,58ea32fae309e104fb3ec877,51.45418,-2.597609,BS1,New American Restaurant,439.0
15,City centre,51.453632,-2.591341,Café Rouge,4b2e3c13f964a52089dd24e3,51.45548349780405,-2.604043607458133,BS1 5PJ,French Restaurant,904.0
19,Ashton Gate,51.4406,-2.61905,El Rincon,4ca38f0c750ca093dcf71967,51.443295769055055,-2.6162741283172,BS3 1JU,Tapas Restaurant,356.0
21,Bedminster,51.4397,-2.6037,The Olive Shed,4b05883df964a520fab922e3,51.44708665067892,-2.6001671914787177,BS1 4RN,Tapas Restaurant,857.0
24,Bedminster,51.4397,-2.6037,Gambas,5b71771564c8e1002cd76130,51.44712,-2.5989766,BS1 6ZA,Tapas Restaurant,888.0
25,Bedminster,51.4397,-2.6037,El Rincon,4ca38f0c750ca093dcf71967,51.443295769055055,-2.6162741283172,BS3 1JU,Tapas Restaurant,959.0
27,Bower Ashton,51.44166,-2.62988,El Rincon,4ca38f0c750ca093dcf71967,51.443295769055055,-2.6162741283172,BS3 1JU,Tapas Restaurant,960.0
28,Broadmead,51.457,-2.588,Harvey Nichols Restaurant & Bar,50450455183fcb060e8d47e7,51.45723347,-2.58622832,BS1 3BZ,French Restaurant,125.0
29,Broadmead,51.457,-2.588,Côte Brasserie,588c7f920319b8631e76e17a,51.4574002691185,-2.587209615907183,BS1 3BU,French Restaurant,71.0
31,Broadmead,51.457,-2.588,Poco,4ed9ff2229c2b91227e9f9a5,51.46281929425825,-2.5900586386376663,BS2 8JP,Tapas Restaurant,663.0
34,Broadmead,51.457,-2.588,Pata Negra,5409ee3f498ea27289eb00e1,51.453949625289084,-2.5951340486910333,BS1 1YH,Tapas Restaurant,599.0
37,Broadmead,51.457,-2.588,Piccolino,4bcc64dbb6c49c74ba9a9391,51.45705522762938,-2.5865264260015635,BS1 3BZ,Italian Restaurant,102.0
40,Broadmead,51.457,-2.588,The Smoke Haus,58ea32fae309e104fb3ec877,51.45418,-2.597609,BS1,New American Restaurant,736.0
41,Clifton,51.46,-2.62,Cote,4d30a83296fe6ea80c421744,51.455972088738356,-2.621580444620954,BS8 4JG,French Restaurant,461.0
42,Clifton,51.46,-2.62,Bravas,4f7f2d70e4b09e2ac38f7bec,51.46437511059457,-2.60890275057498,BS6 6LD,Tapas Restaurant,910.0
44,Clifton,51.46,-2.62,New Moon Cafe,5570885d498e99a4a7ec8cd9,51.454833,-2.620588,,Tapas Restaurant,576.0
47,Cliftonwood,51.4510975,-2.6097115000000004,The Olive Shed,4b05883df964a520fab922e3,51.44708665067892,-2.6001671914787177,BS1 4RN,Tapas Restaurant,798.0
48,Cliftonwood,51.4510975,-2.6097115000000004,Cote,4d30a83296fe6ea80c421744,51.455972088738356,-2.621580444620954,BS8 4JG,French Restaurant,985.0
51,Cliftonwood,51.4510975,-2.6097115000000004,El Puerto,4e8748f8d3e393c4a795ad5d,51.44948531380454,-2.5965473194815427,BS1 4QH,Tapas Restaurant,930.0
52,Cliftonwood,51.4510975,-2.6097115000000004,The Smoke Haus,58ea32fae309e104fb3ec877,51.45418,-2.597609,BS1,New American Restaurant,906.0
53,Cliftonwood,51.4510975,-2.6097115000000004,Café Rouge,4b2e3c13f964a52089dd24e3,51.45548349780405,-2.604043607458133,BS1 5PJ,French Restaurant,626.0
54,Cliftonwood,51.4510975,-2.6097115000000004,New Moon Cafe,5570885d498e99a4a7ec8cd9,51.454833,-2.620588,,Tapas Restaurant,861.0
55,Cliftonwood,51.4510975,-2.6097115000000004,El Rincon,4ca38f0c750ca093dcf71967,51.443295769055055,-2.6162741283172,BS3 1JU,Tapas Restaurant,979.0
56,Cotham,51.4653,-2.6012,Bravas,4f7f2d70e4b09e2ac38f7bec,51.46437511059457,-2.60890275057498,BS6 6LD,Tapas Restaurant,543.0
58,Cotham,51.4653,-2.6012,Poco,4ed9ff2229c2b91227e9f9a5,51.46281929425825,-2.5900586386376663,BS2 8JP,Tapas Restaurant,820.0
66,Hotwells,51.45,-2.62,Cote,4d30a83296fe6ea80c421744,51.455972088738356,-2.621580444620954,BS8 4JG,French Restaurant,673.0
67,Hotwells,51.45,-2.62,Bar Forty Four Tapas Y Copas,5b65fc9f83e380002cba4057,51.454197,-2.618218,BS8 4HG,Tapas Restaurant,483.0
68,Hotwells,51.45,-2.62,New Moon Cafe,5570885d498e99a4a7ec8cd9,51.454833,-2.620588,,Tapas Restaurant,539.0
69,Hotwells,51.45,-2.62,El Rincon,4ca38f0c750ca093dcf71967,51.443295769055055,-2.6162741283172,BS3 1JU,Tapas Restaurant,789.0
72,Kingsdown,51.468,-2.613,Bravas,4f7f2d70e4b09e2ac38f7bec,51.46437511059457,-2.60890275057498,BS6 6LD,Tapas Restaurant,493.0
76,Knowle,51.434,-2.5721,Best Spice,4dae0069a86e29d01a3b51bc,51.43958496327358,-2.5734144243076105,BS4 2AL,Indian Restaurant,628.0
79,Montpelier,51.46786662962962,-2.5854882962962966,Poco,4ed9ff2229c2b91227e9f9a5,51.46281929425825,-2.5900586386376663,BS2 8JP,Tapas Restaurant,644.0
86,Redcliffe,51.4478,-2.5895,The Olive Shed,4b05883df964a520fab922e3,51.44708665067892,-2.6001671914787177,BS1 4RN,Tapas Restaurant,743.0
87,Redcliffe,51.4478,-2.5895,El Puerto,4e8748f8d3e393c4a795ad5d,51.44948531380454,-2.5965473194815427,BS1 4QH,Tapas Restaurant,523.0
89,Redcliffe,51.4478,-2.5895,Pata Negra,5409ee3f498ea27289eb00e1,51.453949625289084,-2.5951340486910333,BS1 1YH,Tapas Restaurant,787.0
91,Redcliffe,51.4478,-2.5895,The Smoke Haus,58ea32fae309e104fb3ec877,51.45418,-2.597609,BS1,New American Restaurant,905.0
94,Redland,51.47241,-2.60321,Bravas,4f7f2d70e4b09e2ac38f7bec,51.46437511059457,-2.60890275057498,BS6 6LD,Tapas Restaurant,977.0
100,Southville,51.445,-2.6003,The Olive Shed,4b05883df964a520fab922e3,51.44708665067892,-2.6001671914787177,BS1 4RN,Tapas Restaurant,232.0
103,Southville,51.445,-2.6003,El Puerto,4e8748f8d3e393c4a795ad5d,51.44948531380454,-2.5965473194815427,BS1 4QH,Tapas Restaurant,562.0
108,Spike Island,51.4479,-2.6087,The Olive Shed,4b05883df964a520fab922e3,51.44708665067892,-2.6001671914787177,BS1 4RN,Tapas Restaurant,598.0
111,Spike Island,51.4479,-2.6087,El Puerto,4e8748f8d3e393c4a795ad5d,51.44948531380454,-2.5965473194815427,BS1 4QH,Tapas Restaurant,860.0
114,Spike Island,51.4479,-2.6087,Café Rouge,4b2e3c13f964a52089dd24e3,51.45548349780405,-2.604043607458133,BS1 5PJ,French Restaurant,903.0
115,Spike Island,51.4479,-2.6087,El Rincon,4ca38f0c750ca093dcf71967,51.443295769055055,-2.6162741283172,BS3 1JU,Tapas Restaurant,733.0
116,St Andrew's,51.4712805,-2.588771666666667,Poco,4ed9ff2229c2b91227e9f9a5,51.46281929425825,-2.5900586386376663,BS2 8JP,Tapas Restaurant,945.0
120,St. Jude's,51.460012,-2.579625,Harvey Nichols Restaurant & Bar,50450455183fcb060e8d47e7,51.45723347,-2.58622832,BS1 3BZ,French Restaurant,552.0
121,St. Jude's,51.460012,-2.579625,Côte Brasserie,588c7f920319b8631e76e17a,51.4574002691185,-2.587209615907183,BS1 3BU,French Restaurant,600.0
122,St. Jude's,51.460012,-2.579625,Poco,4ed9ff2229c2b91227e9f9a5,51.46281929425825,-2.5900586386376663,BS2 8JP,Tapas Restaurant,787.0
124,St. Jude's,51.460012,-2.579625,Piccolino,4bcc64dbb6c49c74ba9a9391,51.45705522762938,-2.5865264260015635,BS1 3BZ,Italian Restaurant,580.0
125,St. Paul's,51.4656,-2.582,Poco,4ed9ff2229c2b91227e9f9a5,51.46281929425825,-2.5900586386376663,BS2 8JP,Tapas Restaurant,638.0
126,St. Paul's,51.4656,-2.582,Harvey Nichols Restaurant & Bar,50450455183fcb060e8d47e7,51.45723347,-2.58622832,BS1 3BZ,French Restaurant,975.0
127,St. Paul's,51.4656,-2.582,Côte Brasserie,588c7f920319b8631e76e17a,51.4574002691185,-2.587209615907183,BS1 3BU,French Restaurant,981.0
129,St. Paul's,51.4656,-2.582,Piccolino,4bcc64dbb6c49c74ba9a9391,51.45705522762938,-2.5865264260015635,BS1 3BZ,Italian Restaurant,1001.0
133,Totterdown,51.4388,-2.566,Best Spice,4dae0069a86e29d01a3b51bc,51.43958496327358,-2.5734144243076105,BS4 2AL,Indian Restaurant,521.0
135,Tyndall's Park,51.46,-2.6,Poco,4ed9ff2229c2b91227e9f9a5,51.46281929425825,-2.5900586386376663,BS2 8JP,Tapas Restaurant,757.0
137,Tyndall's Park,51.46,-2.6,Bravas,4f7f2d70e4b09e2ac38f7bec,51.46437511059457,-2.60890275057498,BS6 6LD,Tapas Restaurant,786.0
142,Tyndall's Park,51.46,-2.6,Côte Brasserie,588c7f920319b8631e76e17a,51.4574002691185,-2.587209615907183,BS1 3BU,French Restaurant,932.0
143,Tyndall's Park,51.46,-2.6,Pata Negra,5409ee3f498ea27289eb00e1,51.453949625289084,-2.5951340486910333,BS1 1YH,Tapas Restaurant,753.0
145,Tyndall's Park,51.46,-2.6,Piccolino,4bcc64dbb6c49c74ba9a9391,51.45705522762938,-2.5865264260015635,BS1 3BZ,Italian Restaurant,989.0
146,Tyndall's Park,51.46,-2.6,The Smoke Haus,58ea32fae309e104fb3ec877,51.45418,-2.597609,BS1,New American Restaurant,668.0
147,Tyndall's Park,51.46,-2.6,Café Rouge,4b2e3c13f964a52089dd24e3,51.45548349780405,-2.604043607458133,BS1 5PJ,French Restaurant,575.0
149,Upper Knowle,51.434,-2.5721,Best Spice,4dae0069a86e29d01a3b51bc,51.43958496327358,-2.5734144243076105,BS4 2AL,Indian Restaurant,628.0
153,Windmill Hill,51.4412,-2.5861,Best Spice,4dae0069a86e29d01a3b51bc,51.43958496327358,-2.5734144243076105,BS4 2AL,Indian Restaurant,897.0
