,name,latitude,longitude,Chinese Restaurant,French Restaurant,Indian Restaurant,Italian Restaurant,New American Restaurant,Tapas Restaurant,count rest. nationality
0,Ashton Gate,51.4406,-2.61905,0.0,0.0,0.0,0.0,0.0,1.0,1
1,Bedminster,51.4397,-2.6037,0.0,0.0,0.0,0.0,0.0,1.0,1
2,Bower Ashton,51.44166,-2.62988,0.0,0.0,0.0,0.0,0.0,1.0,1
3,Broadmead,51.457,-2.588,0.0,0.33,0.0,0.17,0.17,0.33,4
4,City centre,51.453632,-2.591341,0.0,0.38,0.0,0.12,0.12,0.38,4
5,Clifton,51.46,-2.62,0.0,0.33,0.0,0.0,0.0,0.67,2
6,Cliftonwood,51.4510975,-2.6097115000000004,0.0,0.29,0.0,0.0,0.14,0.57,3
7,Cotham,51.4653,-2.6012,0.0,0.0,0.0,0.0,0.0,1.0,1
8,Hotwells,51.45,-2.62,0.0,0.25,0.0,0.0,0.0,0.75,2
9,Kingsdown,51.468,-2.613,0.0,0.0,0.0,0.0,0.0,1.0,1
10,Knowle,51.434,-2.5721,0.0,0.0,1.0,0.0,0.0,0.0,1
11,Montpelier,51.46786662962962,-2.5854882962962966,0.0,0.0,0.0,0.0,0.0,1.0,1
12,Redcliffe,51.4478,-2.5895,0.0,0.0,0.0,0.0,0.25,0.75,2
13,Redland,51.47241,-2.60321,0.0,0.0,0.0,0.0,0.0,1.0,1
14,Southville,51.445,-2.6003,0.0,0.0,0.0,0.0,0.0,1.0,1
15,Spike Island,51.4479,-2.6087,0.0,0.25,0.0,0.0,0.0,0.75,2
16,St Andrew's,51.4712805,-2.588771666666667,0.0,0.0,0.0,0.0,0.0,1.0,1
17,St. Jude's,51.460012,-2.579625,0.0,0.5,0.0,0.25,0.0,0.25,3
18,St. Paul's,51.4656,-2.582,0.0,0.5,0.0,0.25,0.0,0.25,3
19,Totterdown,51.4388,-2.566,0.5,0.0,0.5,0.0,0.0,0.0,2
20,Tyndall's Park,51.46,-2.6,0.0,0.29,0.0,0.14,0.14,0.43,4
21,Upper Knowle,51.434,-2.5721,0.0,0.0,1.0,0.0,0.0,0.0,1
22,Windmill Hill,51.4412,-2.5861,0.0,0.0,1.0,0.0,0.0,0.0,1
