,name,latitude,longitude,Venue,Venue Id,Venue Latitude,Venue Longitude,Venue postalCode,Venue Category
0,City centre,51.453632,-2.591341,Chomp,547718c6498ec0beb58c68e3,51.45400595161092,-2.5925957109955555,BS1 1UQ,Steakhouse
1,City centre,51.453632,-2.591341,The Ox,5291302911d2e680e6a83849,51.454465937285164,-2.594465540507735,BS1 1HT,Steakhouse
2,City centre,51.453632,-2.591341,Pasture,5aa6dc43c47cf935e5100373,51.449447,-2.589127,BS1 6NB,Steakhouse
3,City centre,51.453632,-2.591341,Côte Brasserie,588c7f920319b8631e76e17a,51.4574002691185,-2.587209615907183,BS1 3BU,French Restaurant
4,City centre,51.453632,-2.591341,Harvey Nichols Restaurant & Bar,50450455183fcb060e8d47e7,51.45723347,-2.58622832,BS1 3BZ,French Restaurant
5,City centre,51.453632,-2.591341,Pata Negra,5409ee3f498ea27289eb00e1,51.453949625289084,-2.5951340486910333,BS1 1YH,Tapas Restaurant
6,City centre,51.453632,-2.591341,Loch Fyne,4c41a66eaf052d7f719f7d79,51.45166776264764,-2.593049864899382,BS1 4HQ,Seafood Restaurant
7,City centre,51.453632,-2.591341,Boston Tea Party,4b058836f964a520ceb822e3,51.45524932705079,-2.6036836847608544,BS1 5PF,Café
8,City centre,51.453632,-2.591341,Zerodegrees,4b058838f964a5202cb922e3,51.45624675734139,-2.597980285043361,BS1 5BA,Gastropub
9,City centre,51.453632,-2.591341,The Prince Street Social,56d0c35dcd105fe2c43a4796,51.45059531983873,-2.596522160683959,BS1 4PS,Gastropub
10,City centre,51.453632,-2.591341,El Puerto,4e8748f8d3e393c4a795ad5d,51.44948531380454,-2.5965473194815427,BS1 4QH,Tapas Restaurant
11,City centre,51.453632,-2.591341,The Olive Shed,4b05883df964a520fab922e3,51.44708665067892,-2.6001671914787177,BS1 4RN,Tapas Restaurant
12,City centre,51.453632,-2.591341,Steak Of The Art,527be3db498e22b9354f15c3,51.449742734594274,-2.602994956298978,BS1 5LN,Steakhouse
13,City centre,51.453632,-2.591341,Piccolino,4bcc64dbb6c49c74ba9a9391,51.45705522762938,-2.5865264260015635,BS1 3BZ,Italian Restaurant
14,City centre,51.453632,-2.591341,The Smoke Haus,58ea32fae309e104fb3ec877,51.45418,-2.597609,BS1,New American Restaurant
15,City centre,51.453632,-2.591341,Café Rouge,4b2e3c13f964a52089dd24e3,51.45548349780405,-2.604043607458133,BS1 5PJ,French Restaurant
16,Arnos Vale,51.4316,-2.5536,The Knowle,5648aa54498e6d7530bdd35b,51.43464281419301,-2.5621776997766825,,Gastropub
17,Ashley Down,51.48,-2.58,The Grace,53bc174c498eb3d61c9139c5,51.475253430705735,-2.5909394494923603,,Gastropub
18,Ashton Gate,51.4406,-2.61905,Fishminster,4b6c5c43f964a52099332ce3,51.441892227725276,-2.613110978737882,BS1 3LL,Seafood Restaurant
19,Ashton Gate,51.4406,-2.61905,El Rincon,4ca38f0c750ca093dcf71967,51.443295769055055,-2.6162741283172,BS3 1JU,Tapas Restaurant
20,Barton Hill,51.4525,-2.5629,Winstons Fish Bar,4d3445cf5c2db60c6d43d26c,51.451753,-2.55695,,Seafood Restaurant
21,Bedminster,51.4397,-2.6037,The Olive Shed,4b05883df964a520fab922e3,51.44708665067892,-2.6001671914787177,BS1 4RN,Tapas Restaurant
22,Bedminster,51.4397,-2.6037,Smiley's Plaice,4f467478e4b054466e0fe82b,51.44115368330618,-2.599000113780284,,Seafood Restaurant
23,Bedminster,51.4397,-2.6037,Fishminster,4b6c5c43f964a52099332ce3,51.441892227725276,-2.613110978737882,BS1 3LL,Seafood Restaurant
24,Bedminster,51.4397,-2.6037,Gambas,5b71771564c8e1002cd76130,51.44712,-2.5989766,BS1 6ZA,Tapas Restaurant
25,Bedminster,51.4397,-2.6037,El Rincon,4ca38f0c750ca093dcf71967,51.443295769055055,-2.6162741283172,BS3 1JU,Tapas Restaurant
26,Bishopston,51.47693,-2.59751,The Grace,53bc174c498eb3d61c9139c5,51.475253430705735,-2.5909394494923603,,Gastropub
27,Bower Ashton,51.44166,-2.62988,El Rincon,4ca38f0c750ca093dcf71967,51.443295769055055,-2.6162741283172,BS3 1JU,Tapas Restaurant
28,Broadmead,51.457,-2.588,Harvey Nichols Restaurant & Bar,50450455183fcb060e8d47e7,51.45723347,-2.58622832,BS1 3BZ,French Restaurant
29,Broadmead,51.457,-2.588,Côte Brasserie,588c7f920319b8631e76e17a,51.4574002691185,-2.587209615907183,BS1 3BU,French Restaurant
