,Postcode,Grid Ref,County,District,Ward,District Code,Ward Code,County Code,Constituency,Population,Households,Lower layer super output area,Region,London zone,LSOA Code,MSOA Code,Middle layer super output area,Index of Multiple Deprivation,Postcode district,Average Income,Postcode2
0,BS1 1AD,ST602734,Bristol,"Bristol, City of",Lawrence Hill,E06000023,E05010907,E11000003,Bristol West,,,Bristol 054D,South West,,E01033358,E02006887,Bristol 054,1501,BS1,39100,BS1 1
1,BS1 1BU,ST588729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,15.0,7.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
2,BS1 1DA,ST587730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
3,BS1 1DB,ST587730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
4,BS1 1DD,ST601735,Bristol,"Bristol, City of",Lawrence Hill,E06000023,E05010907,E11000003,Bristol West,,,Bristol 056A,South West,,E01014654,E02006889,Bristol 056,1881,BS1,29100,BS1 1
5,BS1 1DE,ST587730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,18.0,8.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
6,BS1 1DL,ST588729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,12.0,8.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
7,BS1 1DP,ST588730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
8,BS1 1DQ,ST588727,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,121.0,29.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
9,BS1 1DR,ST588730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
10,BS1 1DW,ST587730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
11,BS1 1DZ,ST587731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,20.0,13.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
12,BS1 1EA,ST587730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,1.0,1.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
13,BS1 1EB,ST587730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,1.0,1.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
14,BS1 1EE,ST587730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,31.0,8.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
15,BS1 1EH,ST587728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
16,BS1 1EL,ST586729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,21.0,16.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
17,BS1 1EQ,ST587729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,37.0,0.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
18,BS1 1GB,ST588728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
19,BS1 1HQ,ST588729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,37.0,21.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
20,BS1 1HT,ST587730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,29.0,10.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
21,BS1 1HW,ST588729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
22,BS1 1JG,ST588730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
23,BS1 1JH,ST588730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,4.0,2.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
24,BS1 1JL,ST587729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
25,BS1 1JN,ST588730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,7.0,4.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
