,Ward Code,Ward Name,Ward Latitude,Ward Longitude,Average Income,Index of Multiple Deprivation,Avg. House Price £k,Ward Population,Ward Crimes
0,E05010885,Ashley,51.4683098847,-2.58267316047,44400.0,9698.1766004415,343.64459161147903,19083.0,2675.0
1,E05010886,Avonmouth & Lawrence Weston,51.5073341696,-2.67640359358,38226.91680261011,8580.04730831974,247.12724306688418,21375.0,2288.0
2,E05010887,Bedminster,51.4371603671,-2.62187227821,43119.875776397515,15573.475155279502,315.3726708074534,12517.0,1036.0
3,E05010888,Bishopston & Ashley Down,51.4814532715,-2.58646340656,56094.25837320574,24239.947368421053,401.76555023923447,13415.0,900.0
4,E05010889,Bishopsworth,51.4217884041,-2.61645553985,37048.48484848485,14629.829545454546,239.41666666666666,11425.0,1391.0
5,E05010890,Brislington East,51.4402835576,-2.53865369047,40835.07462686567,12991.216417910447,246.6865671641791,11892.0,751.0
6,E05010891,Brislington West,51.4343938593,-2.54906988637,43799.619771863116,13685.300380228136,265.6311787072243,11336.0,1287.0
7,E05010892,Central,51.4544148955,-2.59433619751,45808.04911323329,12850.00954979536,302.18008185538883,20656.0,8672.0
8,E05010893,Clifton,51.4565158032,-2.61996331305,50983.23863636364,23870.107954545456,530.6022727272727,13581.0,781.0
9,E05010894,Clifton Down,51.4649698075,-2.61265665527,56292.76315789474,25230.625,453.30263157894734,11639.0,845.0
10,E05010895,Cotham,51.4659633898,-2.59991083361,52680.48780487805,21720.739837398374,426.2235772357724,12110.0,773.0
11,E05010896,Easton,51.4623719964,-2.55850571231,37942.01388888889,8262.618055555555,259.34722222222223,14169.0,1377.0
12,E05010897,Eastville,51.4747101824,-2.54692680567,41384.023668639056,9685.763313609468,277.3609467455621,14696.0,1616.0
13,E05010898,Filwood,51.4254187146,-2.59280262818,34159.85401459854,2816.689781021898,228.5912408759124,13750.0,1721.0
14,E05010899,Frome Vale,51.4870905493,-2.53119915299,37993.54838709677,10998.900293255132,303.3636363636364,13477.0,1417.0
15,E05010900,Hartcliffe & Withywood,51.4077037025,-2.6122179734,30537.91574279379,1579.1662971175167,206.9068736141907,19005.0,2653.0
16,E05010901,Henbury & Brentry,51.5089736142,-2.62103514848,38743.07692307692,8907.323076923078,257.8,12473.0,1150.0
17,E05010902,Hengrove & Whitchurch Park,51.4115422794,-2.57721341501,37631.43507972665,13030.922551252848,266.8633257403189,17222.0,1633.0
18,E05010903,Hillfields,51.4737018096,-2.5225753211,38159.59595959596,9266.13468013468,270.5791245791246,12898.0,1022.0
19,E05010904,Horfield,51.4950842804,-2.586379126,43355.555555555555,14102.84126984127,313.1746031746032,13415.0,1256.0
20,E05010905,Hotwells & Harbourside,51.4497285026,-2.60957858467,47079.69543147208,16354.888324873096,398.4568527918782,6056.0,2181.0
21,E05010906,Knowle,51.4327773874,-2.57233440569,40662.01550387597,12874.073643410853,308.4922480620155,13345.0,988.0
22,E05010907,Lawrence Hill,51.4545929175,-2.57123424149,33904.66786355476,3005.3931777378816,226.8258527827648,19473.0,3159.0
23,E05010908,Lockleaze,51.4858562509,-2.56566726138,38729.11392405063,7609.5864978902955,320.4810126582278,13398.0,1445.0
24,E05010909,Redland,51.4752449941,-2.60115761678,56299.016393442624,26272.04262295082,519.6131147540983,13088.0,772.0
25,E05010910,St George Central,51.4621405804,-2.52638340272,36888.88888888889,9147.989583333334,281.34027777777777,12902.0,1105.0
26,E05010911,St George Troopers Hill,51.4534361531,-2.53032298326,43668.072289156626,17611.25903614458,237.19277108433735,5834.0,209.0
27,E05010912,St George West,51.4601173974,-2.54693954016,38075.294117647056,9440.20588235294,238.61764705882354,6518.0,669.0
28,E05010913,Southmead,51.5030620845,-2.60111790007,36750.56179775281,5976.393258426966,295.438202247191,12632.0,1171.0
29,E05010914,Southville,51.4433220308,-2.60399054226,43858.620689655174,12797.871473354233,340.2758620689655,12671.0,2105.0
30,E05010915,Stockwood,51.418418512,-2.54973459028,37129.88047808765,13349.601593625497,227.30278884462152,11580.0,820.0
31,E05010916,Stoke Bishop,51.4774256958,-2.63604316329,52207.27272727273,23625.71212121212,593.6121212121212,12068.0,604.0
32,E05010917,Westbury-on-Trym & Henleaze,51.4897948304,-2.61748273112,54507.5,29341.92142857143,534.5660714285714,19971.0,827.0
33,E05010918,Windmill Hill,51.4390971799,-2.58594427096,45177.23880597015,13710.276119402984,302.59328358208955,13735.0,904.0
